58efc522-d58f-4549-9bb5-a711763bb429,fenelia,lascell,,u,$37.95,3581761701686832,cc8ecdfa-6229-460c-8ac1-523ae91140f9,2017-12-15,15 oriole drive,detroit,,,
4a7f0571-c934-4dec-8926-42661330d9c6,yasmeen,castellini,,u,$217.87,5253400571634943,400c5488-b383-4990-86f9-fe41ae195e60,2018-02-07,5 golf course park,colorado springs,,,
41845ad2-3c1a-4d4a-9a97-4e3190db47d6,vanni,demoge,,u,$916.13,5.03825270547173e+018,87b39327-5ea0-4b83-ac98-bf234fd8afb3,2017-12-05,26 fair oaks park,bakersfield,,,
837a1d7b-4875-4fc1-8cac-cb4d6e4040dc,gerta,mozzetti,,f,$958.98,5.6109519387506e+018,62d67df1-c9d1-4246-8c8c-eeaee97db5e3,2018-02-12,376 spohn hill,honolulu,,,
6fcaed59-f7fd-4798-856d-3775c92601a2,darcee,mccrillis,,u,$880.86,4917657368390598,5b1898ff-17b3-4b4e-b7aa-719233fdc052,2017-12-13,41 briar crest place,worcester,,,
6fcaed59-f7fd-4798-856d-3775c92601a2,darcee,mccrillis,,u,$85.19,4917657368390598,1b1898ff-17b3-4b4e-b7aa-719233fdc052,2010-01-22,41 briar crest place,worcester,,,
8bdc73a8-4176-4dbb-a508-49fd0459824a,rancell,pirt,,u,$828.19,3552199518153032,f577689a-e162-4e39-bfc4-14d9946a28c3,2017-05-03,468 oakridge plaza,las vegas,,,
8bdc73a8-4176-4dbb-a508-49fd0459824a,rancell,pirt,,u,$12.21,3552199518153032,1577689a-e162-4e39-bfc4-14d9946a28c3,2011-11-14,468 oakridge plaza,las vegas,,,
8bdc73a8-4176-4dbb-a508-49fd0459824a,rancell,pirt,,u,$70.87,3552199518153032,2577689a-e162-4e39-bfc4-14d9946a28c3,2014-10-07,468 oakridge plaza,las vegas,,,
07d99df5-cf7a-425d-bde0-fa5157349034,shae,crame,,u,$297.47,5602254832528339,e5b26379-f2e3-44fc-a6a7-d835a14fb0dc,2017-05-22,7 moose junction,naples,,,
96f84f16-8f87-4079-b375-b63be7c85d0a,allene,canon,,u,$566.17,3534571890735003,c946e472-8c45-453d-8801-31e9dfe2f2c1,2017-09-30,028 jay center,madison,,,
39fa91da-3fca-4c9d-86e1-1c0999c09d54,anett,popping,,u,$663.95,6.75950767216869e+017,dd02c8de-d14d-45fe-98e9-b19de6ae69b5,2017-06-27,9092 chive plaza,peoria,,,
f6edfc44-e5c1-475e-adbe-1f948645ec34,grazia,storah,,u,$791.79,30070811895546,bd298b9d-51d2-40ad-81c6-2265f460e1fe,2017-10-16,7 vermont street,brooklyn,,,
bab7830e-1fc2-4993-b056-02bea3e62bbf,gerta,mccullock,,u,$876.72,30076289712444,56b216f9-1000-4c75-b32a-7a554c7de7ae,2017-09-27,7 farmco trail,bryan,,,
9bfbe568-557a-4cc5-b8d6-1d66c4612dc3,neely,slemmonds,,u,$863.97,3571226777704382,f038882c-69c1-4998-83f9-8ffce57bbb72,2017-05-08,82231 londonderry park,philadelphia,,,
d830c15c-f375-4f3d-8f06-1e4846ad26ad,freddi,threlkeld,,u,$295.08,36336690449455,9d16e2b9-61f3-4831-b5d9-dc01d779d54e,2017-06-19,2 summer ridge avenue,burbank,,,
c4b6d022-5d0a-4435-82f4-61d534c6d9a6,rebeka,joanaud,,u,$678.18,6333235060380083,ff52c9cf-fa9c-4358-a8f9-9142db8eb7b7,2017-05-22,385 annamark drive,santa fe,,,
8670b174-d04e-4d7b-93c3-7cc8fce0d672,lebbie,diggin,,u,$833.40,3568883686523686,be36261b-28e3-4306-8a90-5c851d3b57df,2017-11-14,0 lighthouse bay way,washington,,,
45130de3-51a3-47ae-a0d1-983dd3509b71,eddie,extall,,u,$498.30,3579138923969730,4425c3cf-a607-4eae-a85d-486c81a653d1,2018-02-21,81862 loeprich lane,decatur,,,
28d569a8-18df-4d49-a72e-87938b92b26b,olia,weekland,,u,$635.28,4041590670501249,533860cc-46fd-4f9a-b66b-d7998adeff60,2017-10-07,97373 truax avenue,richmond,,,
28d569a8-18df-4d49-a72e-87938b92b26b,olia,weekland,,u,$87.12,4041590670501249,133860cc-46fd-4f9a-b66b-d7998adeff60,2016-09-08,97373 truax avenue,richmond,,,
999dcdcf-5057-4742-ac98-922041757b06,antoni,sabati,,u,$268.66,3581958948972740,ab572614-10a1-47d2-a28d-4d6431889241,2017-06-15,9 lerdahl pass,boulder,,,
