c7d291bb-8188-4162-9f14-078b5c0635a9,ak,99512,jambrozek,lissa, 460.560000
061b805d-3881-4985-9d62-2557deb52a77,ak,99517,chsteney,monika, 2.450000
880a13e7-a07b-464a-a6d3-cb893e65dc66,ak,99517,neissen,monro, 340.740000
5b46db5a-a35a-455b-83f8-33fbe8c3d8c0,ak,99599,buddell,coralie, 92.440000
d5984531-36a1-4033-a0cc-a6d15f562a09,ak,99790,fearfull,stephen, 852.110000
696624fd-01c9-40be-b19b-4104df9fed69,ak,99790,lippett,louisa, 792.740000
088019fa-23bc-47e1-83b4-4ebf54028667,al,35210,conradie,hunt, 420.820000
d7ba18ad-738d-44f5-85f9-57547979e7c1,al,35215,prestwich,mortie, 953.420000
180e5d31-9c57-487d-ab9e-b112f1a80e53,al,35220,teresi,red, 960.650000
2bb0d5a5-06c4-4939-9a93-4af04543ea91,al,35231,peche,marshall, 898.280000
0aa46b4b-c906-4118-90b2-7e10bb0355c9,al,35236,toll,rriocard, 612.340000
ab4bab24-9945-473e-b253-75bad5a7cb00,al,35244,kleiser,perl, 822.170000
ea0b8250-9a54-46bd-82b8-9e5defb67680,al,35263,wynn,jenilee, 56.150000
dd2fb564-3d7f-4f17-9867-2002fa43c6e7,al,35295,bellward,chanda, 941.150000
f77f0d54-31c6-4859-ad27-52b6ae7fdad0,al,35487,harome,lawton, 443.320000
c8514e92-744e-43f0-af27-bde31a36732a,al,35805,lorenzetto,laurie, 857.480000
388f0e63-af46-4ec4-9f17-8163dc5e4627,al,35805,mewton,terrijo, 914.820000
3153178c-a3fb-44d3-896f-f39da69fe826,al,35895,bakhrushkin,obed, 477.180000
fe680e71-4c51-4bfc-99a7-9b629419f048,al,35895,iredale,beatrix, 71.500000
016e54ec-3e84-478c-9eaa-82d280a9dbe3,al,36109,mcginnis,jonas, 705.580000
37a8d11e-0452-4794-b9e4-9b3ef450179e,al,36114,altamirano,kathryne, 789.820000
9c03d9f2-d62a-4bac-9dfc-c3e361c766ba,al,36119,stonard,katharine, 5.310000
ddcec7e5-1795-4792-b4fd-ad331b19e67b,al,36125,tamblingson,valera, 322.340000
d9769eb1-7fb5-432e-93d0-0d5dec9d8196,al,36177,tottem,richard, 102.540000
a622cf4d-019e-4e92-bd2c-a51b4235dec4,al,36205,heinreich,constancia, 274.560000
9bf5ab9b-6129-4056-95c2-cf921d8d5750,al,36628,sidgwick,karla, 795.610000
03acde30-477d-442a-897e-ac184cb17f71,al,36641,bovingdon,vlad, 51.380000
